Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
1,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q1,T,F,0,7,7,1,1,F,T,341.471,81.568,0,140,18516.95,37272
2,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q2,T,T,8,0,16,10,5,F,T,437.468,171.84,0,281,4141.71,26775
3,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q3,T,F,2,4,10,3,3,F,T,327.647,99.423,0,161,7035.1,18663
4,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q4,T,T,0,3,7,2,2,F,T,246.816,102.175,0,165,14799.69,30324
5,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q5,T,F,5,4,16,6,6,F,T,333.917,97.024,0,160,6710.94,23000
6,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q6,T,F,0,4,4,1,1,F,F,188.416,44.927,0,44,5750.88,11871
7,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q7,T,T,5,5,15,6,5,F,T,516.187,169.789,0,266,13864.28,34664
8,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q8,T,T,7,5,19,8,8,T,T,568.733,133.344,0,233,6622.97,23285
9,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q9,T,T,5,6,16,6,6,F,T,292.255,81.599,0,157,30169.18,43813
10,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q10,T,F,3,4,16,4,4,F,T,381.566,138.078,0,282,8790.86,21640
11,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q11,T,T,4,0,8,6,3,F,T,,,,,,
12,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q12,T,F,1,5,7,2,2,T,T,262.076,60.864,0,114,16861.7,27412
13,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q13,T,T,1,0,6,2,2,F,T,108.895,40.704,0,71,77365.65,85188
14,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q14,T,F,1,4,6,2,2,T,F,320.09,74.879,0,72,4501.51,12461
15,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q15,T,T,1,4,8,2,2,F,T,209.791,55.743,0,102,4693.16,12001
16,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q16,T,T,1,0,8,3,3,F,T,417.95,159.327,0,325,24970.07,41418
17,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q17,T,T,2,3,6,3,2,F,F,255.04,40.96,0,41,11474.11,19961
18,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q18,T,T,2,2,8,4,3,F,T,307.231,112.576,0,193,13582.45,24711
19,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q19,T,F,1,6,10,2,2,F,F,591.866,200.191,0,169,36908.73,48612
20,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q20,T,T,2,3,17,5,5,F,T,434.907,155.647,0,251,9720.9,22843
21,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q21,T,T,3,4,16,6,4,F,T,1447.9,866.684,460,1561,1125388.831,1108749
22,BlazingSQL,T,T,F,48,2080ti,11,1,616,Q22,T,T,0,0,4,3,2,F,T,,,,,,
23,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q1,T,F,0,7,7,1,1,F,T,364.028,91.648,0,140,37538.59,57509
24,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q2,T,T,8,0,16,10,5,F,T,418.239,176.927,0,288,7362.97,28968
25,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q3,T,F,2,4,10,3,3,F,T,326.015,100.767,0,163,13170.84,26219
26,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q4,T,T,0,3,7,2,2,F,T,236.191,117.824,0,165,29345.25,43302
27,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q5,T,F,5,4,16,6,6,F,T,336.927,96.032,0,166,13461.5,29947
28,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q6,T,F,0,4,4,1,1,F,F,199.711,43.743,0,44,11237.03,18647
29,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q7,T,T,5,5,15,6,5,F,T,518.844,170.656,0,266,26653.68,46907
30,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q8,T,T,7,5,19,8,8,T,T,564.827,143.072,0,236,13318.94,33964
31,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q9,T,T,5,6,16,6,6,F,T,307.806,85.247,0,162,68595.51,81519
32,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q10,T,F,3,4,16,4,4,F,T,384.895,137.92,0,279,20486.38,33271
33,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q11,T,T,4,0,8,6,3,F,T,,,,,,
34,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q12,T,F,1,5,7,2,2,T,T,261.151,61.408,0,114,33399.65,43928
35,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q13,T,T,1,0,6,2,2,F,T,109.407,60.384,0,71,156858.46,167468
36,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q14,T,F,1,4,6,2,2,T,F,317.31,75.712,0,72,8457.46,17117
37,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q15,T,T,1,4,8,2,2,F,T,221.981,64.352,0,104,8495.41,15974
38,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q16,T,T,1,0,8,3,3,F,T,420.96,170.463,0,327,45855.86,59033
39,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q17,T,T,2,3,6,3,2,F,F,256.798,40.864,0,41,26997.25,36898
40,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q18,T,T,2,2,8,4,3,F,T,307.646,113.632,0,192,27981.99,40500
41,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q19,T,F,1,6,10,2,2,F,F,593.404,189.343,0,169,74713.26,87964
42,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q20,T,T,2,3,17,5,5,F,T,434.462,156.958,0,253,20100.58,32888
43,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q21,T,T,3,4,16,6,4,F,T,4611.946,932.443,405881,1565,17815255.99,15216976
44,BlazingSQL,T,T,F,48,2080ti,11,2,616,Q22,T,T,0,0,4,3,2,F,T,,,,,,
45,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q1,T,F,0,7,7,1,1,F,T,339.902,81.022,1,140,76411.42,99101
46,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q2,T,T,8,0,16,10,5,F,T,438.558,191.647,14,308,17571.07,37243
47,BlazingSQL,T,T,F,48,2080ti,11,4,616,Q3,T,F,2,4,10,3,3,F,T,333.206,102.495,15,165,26661.46,38940
