Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,IC,DB_Size,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,KU,ET,ETN,OV
1,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,341.471,81.568,0,140,18516.95,,37272,485.18156,452.55876
2,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,437.468,171.84,0,281,4141.71,,26775,437.94169,418.78085
3,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,327.647,99.423,0,161,7035.1,,18663,435.87648,416.86374
4,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,246.816,102.175,0,165,14799.69,,30324,440.97605,414.72741
5,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,333.917,97.024,0,160,6710.94,,23000,476.86237,457.02603
6,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,188.416,44.927,0,44,5750.88,,11871,452.34139,436.95261
7,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,516.187,169.789,0,266,13864.28,,34664,480.73527,451.10982
8,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,568.733,133.344,0,233,6622.969999999999,,23285,444.15456,421.41633
9,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,292.255,81.599,0,157,30169.18,,43813,460.63253,418.25603
10,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,381.566,138.078,0,282,8790.86,,21640,474.58034,450.61945
11,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
12,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,262.076,60.864,0,114,16861.7,,27412,447.25593,419.48605
13,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,108.895,40.704,0,71,77365.65000000001,,85188,536.33368,449.44137
14,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,320.09,74.879,0,72,4501.509999999999,,12461,438.11025,422.64255
15,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,209.791,55.743,0,102,4693.16,,12001,430.27642,415.14565
16,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,417.95,159.327,0,325,24970.07,,41418,443.08817,403.10352
17,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,255.04,40.96,0,41,11474.109999999999,,19961,454.53537,432.91163
18,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,307.231,112.576,0,193,13582.449999999999,,24711,492.39945,465.61784
19,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,591.866,200.191,0,169,36908.729999999996,,48612,450.29891,398.34747
20,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,434.907,155.647,0,251,9720.9,,22843,426.15779,402.31537
21,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,1447.9,866.684,460,1561,1125388.831,,1108749,1593.891612,425.73324
22,BlazingSQL,T,T,F,48,2080ti,11,-,1,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
23,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,364.028,91.648,0,140,37538.59,,57509,462.08403,410.49104
24,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,418.239,176.927,0,288,7362.969999999999,,28968,435.58124,413.16089
25,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,326.015,100.767,0,163,13170.84,,26219,423.84735,398.68125
26,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,236.191,117.824,0,165,29345.25,,43302,458.8852,418.0002
27,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,336.927,96.032,0,166,13461.5,,29947,478.80152,451.9099
28,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,199.711,43.743,0,44,11237.03,,18647,431.25986,410.91179
29,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,518.844,170.656,0,266,26653.68,,46907,458.4217,416.20778
30,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,564.827,143.072,0,236,13318.939999999999,,33964,448.51394,419.28045
31,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,307.806,85.247,0,162,68595.51000000001,,81519,520.53621,438.90772
32,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,384.895,137.92,0,279,20486.38,,33271,455.92337,420.94719
33,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
34,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,261.151,61.408,0,114,33399.65,,43928,490.94024,446.30197
35,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,109.407,60.384,0,71,156858.46000000002,,167468,611.93478,445.92672
36,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,317.31,75.712,0,72,8457.46,,17117,442.75915,423.34841
37,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,221.981,64.352,0,104,8495.41,,15974,433.54464,414.70492
38,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,420.96,170.463,0,327,45855.86,,59033,475.69825,414.16998
39,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,256.798,40.864,0,41,26997.25,,36898,450.62284,413.52776
40,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,307.646,113.632,0,192,27981.989999999998,,40500,455.35569,413.76383
41,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,593.404,189.343,0,169,74713.26000000001,,87964,509.74205,419.84064
42,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,434.462,156.958,0,253,20100.58,,32888,449.70165,415.11742
43,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,4611.946,932.443,405881,1565,17815255.987,,15216976,18445.988105,429.96647
44,BlazingSQL,T,T,F,48,2080ti,11,-,2,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
45,BlazingSQL,T,T,F,48,2080ti,11,-,4,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,339.902,81.022,1,140,76411.42000000001,,99101,563.83333,470.8766
