Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,CC,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET,DT
1,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1a,T,F,5,0,12,5,5,F,F,94.276,108.288,,197,47882.425,86542.845,202.564
2,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1b,T,F,5,0,12,5,5,F,F,91.619,112.288,,204,22828.788,60897.827,203.907
3,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1c,T,F,5,0,12,5,5,F,F,94.916,104.351,,197,36000.741,77265.024,199.267
4,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q1d,T,F,5,0,12,5,5,F,F,101.062,122.047,,205,22459.528,85758.686,223.109
5,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2a,T,F,5,0,10,5,5,F,F,,,,,,,
6,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2b,T,F,5,0,10,5,5,F,F,,,,,,,
7,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2c,T,F,5,0,10,5,5,F,F,,,,,,,
8,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q2d,T,F,5,0,10,5,5,F,F,,,,,,,
9,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q3a,T,F,4,0,9,4,4,F,F,77.694,55.264,,138,13336.375,41953.087,132.958
10,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q3b,T,F,4,0,9,4,4,F,F,52.322,70.146,,148,5724.69,36093.95,122.468
11,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q3c,T,F,4,0,9,4,4,F,F,91.681,49.54,,136,24196.016,53849.936,141.221
12,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q4a,T,F,5,0,12,5,5,F,F,96.224,103.327,,185,11232.036,49528.122,199.551
13,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q4b,T,F,5,0,12,5,5,F,F,76.42,91.94,,200,4541.244,45510.054,168.36
14,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q4c,T,F,5,0,12,5,5,F,F,77.632,71.139,,174,13463.222,58972.12,148.771
15,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q5a,T,F,5,0,11,5,5,F,F,,,,,,,
16,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q5b,T,F,5,0,11,5,5,F,F,,,,,,,
17,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q5c,T,F,5,0,11,5,5,F,F,,,,,,,
18,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6a,T,F,5,3,11,5,5,F,F,79.04,105.249,,204,45287.71,92391.73,184.289
19,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6b,T,F,5,3,11,5,5,F,F,,,,,,,
20,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6c,T,F,5,3,11,5,5,F,F,78.978,103.65,,194,45683.845,90462.446,182.628
21,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6d,T,F,5,3,11,5,5,F,F,,,,,,,
22,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6e,T,F,5,3,11,5,5,F,F,82.882,118.784,,206,47411.786,90753.794,201.666
23,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q6f,T,F,5,3,11,5,5,F,F,,,,,,,
24,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q7a,T,F,11,2,20,8,8,F,F,148.355,116.317,,279,43186.736,134310.007,264.672
25,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q7b,T,F,11,2,20,8,8,F,F,152.641,121.852,,280,34569.914,138624.907,274.493
26,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q7c,T,F,11,2,20,8,8,F,F,155.203,117.733,,283,158701.636,249201.775,272.936
27,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8a,T,F,8,4,17,7,7,F,F,,,,,,,
28,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8b,T,F,8,4,17,7,7,F,F,,,,,,,
29,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8c,T,F,8,4,17,7,7,F,F,,,,,,,
30,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q8d,T,F,8,4,17,7,7,F,F,,,,,,,
31,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9a,T,F,9,3,22,8,8,F,F,,,,,,,
32,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9b,T,F,9,3,22,8,8,F,F,,,,,,,
33,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9c,T,F,9,3,22,8,8,F,F,,,,,,,
34,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q9d,T,F,9,3,22,8,8,F,F,,,,,,,
35,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q10a,T,F,7,4,17,7,7,F,F,,,,,,,
36,BlazingSQL,T,T,F,64,3090,24,4.03,10496,Q10b,T,F,7,4,17,7,7,F,F,,,,,,,
