Q3										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	24.38	18.118	34.03986	117	118	17	1910.938	1981.972	1191.67	344.09
2	35.895	25.796	35.87198	210	210	41	3833.897	3882.501	2614.7	682.18
3	53.739	37.133	41.0192	426	423	62	2226.137	2221.379	4598.98	1869.98
4	98.668	61.554	44.86251	879	879	101	4355.452	4300.461	8530.33	4179.73
5	NaN	NaN	48.4761	NaN	NaN	636	8178.202	8328.035	8792.37	7700.53
6	NaN	NaN	NaN	NaN	NaN	1465	16673.632	16502.417	16134.78	15134.08
7	NaN	NaN	NaN	NaN	NaN	NaN	85469.061	63348.755	42389.24	39686.88
8	NaN	NaN	NaN	NaN	NaN	NaN	210756.737	123608.425	139542.34	81413.38
										
Q4										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	32.46	26.932	32.55045	1019	1055	134	301.329	339.864	419.29	154.81
2	57.055	42.698	39.08741	1951	2013	229	441.533	499.304	526.279	288.27
3	101.535	72.164	57.96707	3845	3854	420	721.574	808.03	820.914	550.9
4	197.386	130.785	70.63699	7570	7594	807	1451.314	1462.941	42161.67	1100.9
5	NaN	NaN	72.8085	NaN	NaN	952	2596.706	2675.187	9609.765	88708.32
6	NaN	NaN	NaN	NaN	NaN	1973	6653.21	6422.131	24116.08	6488.15
7	NaN	NaN	NaN	NaN	NaN	4213	144657.405	90060.891	448127.9	479066.72
8	NaN	NaN	NaN	NaN	NaN	NaN	312069.89	174043.152	264485.36	183353.61
										
Q5										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	22.59	22.741	41.16988	38	75	13	328.81	426.44	545.71	216.72
2	34.88	28.231	45.74835	37	71	15	857.302	926.506	1104	419.88
3	56.259	42.763	56.00405	44	75	15	1530.219	1605.279	2044.27	839.89
4	101.544	68.299	59.13508	58	83	25	11142.604	10954.097	6071.87	4082.06
5	NaN	NaN	66.51664	NaN	NaN	30	NaN	NaN	15207.57	13611.68
6	NaN	NaN	NaN	NaN	NaN	707	NaN	NaN	23846.06	21633.73
7	NaN	NaN	NaN	NaN	NaN	1889	NaN	NaN	42092.52	36874.5
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	138210.19	95737.38
										
Q7										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	44.48	33.575	57.04439	32	32	13	393.949	466.43	816.08	327.85
2	77.495	44.724	62.16264	35	37	11	724.181	749.43	1824.12	637.65
3	130.718	68.681	104.25758	55	51	13	4203.863	4230.839	3625.49	1907.57
4	149.195	121.929	124.68195	100	91	18	6840.964	6875.951	9219.42	5174.34
5	NaN	NaN	101.26793	NaN	NaN	29	13469.891	13370.394	6725.005	9314.81
6	NaN	NaN	NaN	NaN	NaN	293	24395.539	25788.212	13837.13	19274.35
7	NaN	NaN	NaN	NaN	NaN	789	65393.651	74544.045	180859.96	46680.95
8	NaN	NaN	NaN	NaN	NaN	NaN	198191.864	141863.929	NaN	92026.52
										
Q8										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	25.32	21.763	57.93428	49	81	22	529.168	629.646	720.29	508.01
2	39.357	31.738	61.54513	54	81	22	1134.849	1114.859	1951.85	1072.44
3	57.774	42.419	103.3709	72	89	25	2264.61	2537.762	2554.95	1184.36
4	97.558	69.237	74.44978	120	118	43	9630.634	9514.268	4278.99	4044.69
5	NaN	NaN	72.81196	NaN	NaN	67	18443.365	NaN	13911.9	16153.71
6	NaN	NaN	NaN	NaN	NaN	775	NaN	NaN	13206.5	17537.21
7	NaN	NaN	NaN	NaN	NaN	NaN	51666.414	62663.008	47292.28	37418.31
8	NaN	NaN	NaN	NaN	NaN	NaN	176979.004	118520.062	150056.15	87897.15
										
Q9										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	78.21	42.162	60.6339	45	40	15	NaN	NaN	2242.32	1023.61
2	151.911	78.588	74.26322	67	52	21	2374.976	2376.822	4803.49	1798.7
3	297.838	157.201	128.8296	122	89	37	4575.164	4794.181	3371.29	3569.61
4	598.164	320.289	154.73938	242	168	76	9756.637	9466.4	8564.54	8706.42
5	NaN	NaN	202.1718	NaN	NaN	147	20444.28	20808.43	14637.272	15552.94
6	NaN	NaN	NaN	NaN	NaN	699	34256.468	34442.15	25887.01	#NUM!
7	NaN	NaN	NaN	NaN	NaN	NaN	91460.981	91559.853	68248.91	80112.63
8	NaN	NaN	NaN	NaN	NaN	NaN	329078.963	228902.434	225719.32	165492.12
										
Q10										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	31.41	20.48	53.93577	101	100	24	NaN	NaN	1017.46	574.4
2	60.746	32.852	57.44004	164	161	31	3211.321	3119.595	1612.037	1139.15
3	117.734	57.859	89.18238	309	289	31	5685.552	6191.444	2889.675	2179.5
4	236.092	106.564	107.18358	598	574	38	5499.357	5270.422	6011.66	4830.92
5	NaN	NaN	102.48423	NaN	NaN	49	9616.343	10157.444	728.448	8601.87
6	NaN	NaN	NaN	NaN	NaN	512	19236.231	20442.699	15160.26	22092.55
7	NaN	NaN	NaN	NaN	NaN	1424	63155.924	68067.146	58997.68	40626.2
8	NaN	NaN	NaN	NaN	NaN	NaN	266030.385	140004.988	149879.59	97250.97
										
Q11										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	NaN	NaN	NaN	80	89	29	270.665	412.469	496.87	140.69
2	NaN	NaN	NaN	115	121	43	417.947	553.158	923.68	277.83
3	NaN	NaN	NaN	179	190	52	679.567	749.466	1180.77	541.98
4	NaN	NaN	NaN	333	335	81	1119.405	1238.729	1618.7	1207.49
5	NaN	NaN	NaN	NaN	NaN	116	2203.012	2219.895	6810.45	2156.8
6	NaN	NaN	NaN	NaN	NaN	199	3764.246	3895.582	4252.16	4015.37
7	NaN	NaN	NaN	NaN	NaN	384	8022.662	7781.243	8056.25	7332.23
8	NaN	NaN	NaN	NaN	NaN	738	15983.074	15729.91	30887.7	14198.09
										
Q13										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	242.96	82.833	50.10068	5436	1989	3656	623.579	660.181	827.544	974.08
2	467.763	167.151	88.5421	22114	7340	18766	NaN	NaN	NaN	2200.18
3	953.194	308.653	167.39786	88089	27661	256861	NaN	NaN	NaN	4575.62
4	1902.737	616.029	327.11053	356626	108178	1722406	NaN	NaN	NaN	10097.59
5	NaN	NaN	638.82637	NaN	NaN	9161995	NaN	NaN	NaN	19571.88
6	NaN	NaN	NaN	NaN	NaN	43163585	NaN	NaN	NaN	36967.39
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79954.19
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	173016.18
										
Q14										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	14.77	12.069	21.03853	18	21	11	865.528	945.325	590.33	359.55
2	21.802	16.53	22.10951	17	19	11	1610.739	1662.976	1182.8	704.31
3	35.573	24.728	26.74091	22	21	9	3341.121	3436.431	1924.93	1329.74
4	64.701	39.738	27.29523	36	29	16	6123.708	6078.446	2999.74	2405.72
5	NaN	NaN	28.40948	NaN	NaN	23	11693.448	11845.601	5589.87	4403.38
6	NaN	NaN	NaN	NaN	NaN	60	20765.717	22902.571	10533.45	9149.13
7	NaN	NaN	NaN	NaN	NaN	94	82971.006	59941.871	33570.01	28574.71
8	NaN	NaN	NaN	NaN	NaN	94	239420.559	105602.121	105543.9	77236
										
Q15										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	14.18	11.981	21.97015	230	295	79	527.905	567.06	568.77	373.17
2	20.228	15.268	23.25976	195	206	55	948.935	1056.22	1165.24	738.97
3	33.496	23.725	26.36659	110	120	48	1811.254	1923.527	1957.5	1391.84
4	60.729	39.854	30.19094	162	166	53	3330.956	3491.86	3032.81	2634.9
5	NaN	NaN	29.60014	NaN	NaN	64	6507.928	6701.987	5696.49	4818.42
6	NaN	NaN	NaN	NaN	NaN	122	11938.634	13070.436	11028.85	9632.45
7	NaN	NaN	NaN	NaN	NaN	178	89878.722	50461.279	NaN	30667.83
8	NaN	NaN	NaN	NaN	NaN	155	236627.224	104086.101	NaN	73426.18
										
Q16										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	59.41	37.752	50.69458	1733	1734	231	634.938	730.5	485.31	168.7
2	108.33	55.626	63.57896	3429	3429	355	895.515	942.964	1040.69	342.9
3	254.839	108.02	107.53477	6351	6336	551	1683.349	1755.19	1633.97	672.53
4	537.837	254.778	192.80732	11603	11592	788	3335.249	3401.732	2797.11	1483.62
5	NaN	NaN	531.93593	NaN	NaN	1536	6684.635	6753.964	5449.28	4665.82
6	NaN	NaN	NaN	NaN	NaN	NaN	12866.165	13249.553	10756.29	9883.42
7	NaN	NaN	NaN	NaN	NaN	NaN	27058.433	27116.503	35726.93	19891.48
8	NaN	NaN	NaN	NaN	NaN	NaN	56187.28	56590.315	43610.46	41907.4
										
Q17										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
1	28.86	19.521	26.7458	340	324	57	1813.944	1897.015	1788.76	19.2
2	56.097	34.941	34.20317	638	613	96	3515.847	3760.304	3446.59	36.07
3	109.949	68.419	50.62139	1237	1215	176	7483.784	7620.451	7241.89	67.47
4	219.118	133.59	66.54716	2487	2402	312	14836.155	14621.502	NaN	12752.19
5	NaN	NaN	70.04952	NaN	NaN	642	16782.745	17078.24	44027.00074	23280.58
6	NaN	NaN	NaN	NaN	NaN	1340	NaN	NaN	NaN	418.57
7	NaN	NaN	NaN	NaN	NaN	2693	NaN	NaN	NaN	134608.67
8	NaN	NaN	NaN	NaN	NaN	2693	NaN	NaN	NaN	1436.2
										
Q18										
#	bla1080	bla2080	bla3090	omni1080	omni2080	omni3090	pg1080	pg2080	pg3090	pgcpu
