Row No.,DBMS,In-memory,"column-
orientedness", Multi-GPU,RAM size (GB),Evolution,Interconnect,"Database 
Size (GB)",Query Name,aggregation,subquery,# of joins,"# of attributes 
to be referenced 
(on the fact table)",# of (projection+selection) attributes to be referenced by query,"# of all tables 
to be referenced","# of distinct tables
 to be referenced",case-when,order by,HtoD time (㎲),DtoH time (㎲),GPU Page Fault,"# of kernels 
invoked","GPU utilization
(Kernel Time, ㎲)","GPU Utilization 
(Kernel Time, %)",Elapsed Time (㎲),"Elapsed Time 
on NVProf (ms)","Profiling 
Overhead (ms)","cudaLaunchKernel 
start time (ms)",,
1,BlazingSQL,T,T,F,48,2080ti,-,1,Q1,T,F,0,7,7,1,1,F,T,341.471,81.568,0,140,18516.95,56.898,37272,485.18156,452.55876,0.078667,,
2,BlazingSQL,T,T,F,48,2080ti,-,1,Q2,T,T,8,0,16,10,5,F,T,437.468,171.84,0,281,4141.71,21.7358,26775,437.94169,418.78085,0.106059,,
3,BlazingSQL,T,T,F,48,2080ti,-,1,Q3,T,F,2,4,10,3,3,F,T,327.647,99.423,0,161,7035.1,37.1595,18663,435.87648,416.86374,0.08055,,
4,BlazingSQL,T,T,F,48,2080ti,-,1,Q4,T,T,0,3,7,2,2,F,T,246.816,102.175,0,165,14799.69,56.5574,30324,440.97605,414.72741,0.081067,,
5,BlazingSQL,T,T,F,48,2080ti,-,1,Q5,T,F,5,4,16,6,6,F,T,333.917,97.024,0,160,6710.94,34.0122,23000,476.86237,457.02603,0.10537,,
6,BlazingSQL,T,T,F,48,2080ti,-,1,Q6,T,F,0,4,4,1,1,F,F,188.416,44.927,0,44,5750.88,37.6659,11871,452.34139,436.95261,0.120654,,
7,BlazingSQL,T,T,F,48,2080ti,-,1,Q7,T,T,5,5,15,6,5,F,T,516.187,169.789,0,266,13864.28,46.9299,34664,480.73527,451.10982,0.082935,,
8,BlazingSQL,T,T,F,48,2080ti,-,1,Q8,T,T,7,5,19,8,8,T,T,568.733,133.344,0,233,6622.97,29.2189,23285,444.15456,421.41633,0.071506,,
9,BlazingSQL,T,T,F,48,2080ti,-,1,Q9,T,T,5,6,16,6,6,F,T,292.255,81.599,0,157,30169.18,71.3111,43813,460.63253,418.25603,0.070046,,
10,BlazingSQL,T,T,F,48,2080ti,-,1,Q10,T,F,3,4,16,4,4,F,T,381.566,138.078,0,282,8790.86,36.8136,21640,474.58034,450.61945,0.081515,,
11,BlazingSQL,T,T,F,48,2080ti,-,1,Q11,T,T,4,0,8,6,3,F,T,,,,,,,,,,,,
12,BlazingSQL,T,T,F,48,2080ti,-,1,Q12,T,F,1,5,7,2,2,T,T,262.076,60.864,0,114,16861.7,60.8684,27412,447.25593,419.48605,0.067979,,
13,BlazingSQL,T,T,F,48,2080ti,-,1,Q13,T,T,1,0,6,2,2,F,T,108.895,40.704,0,71,77365.65,89.1377,85188,536.33368,449.44137,0.098858,,
14,BlazingSQL,T,T,F,48,2080ti,-,1,Q14,T,F,1,4,6,2,2,T,F,320.09,74.879,0,72,4501.51,29.2585,12461,438.11025,422.64255,0.082382,,
15,BlazingSQL,T,T,F,48,2080ti,-,1,Q15,T,T,1,4,8,2,2,F,T,209.791,55.743,0,102,4693.16,31.184,12001,430.27642,415.14565,0.080862,,
16,BlazingSQL,T,T,F,48,2080ti,-,1,Q16,T,T,1,0,8,3,3,F,T,417.95,159.327,0,325,24970.07,62.6187,41418,443.08817,403.10352,0.108255,,
17,BlazingSQL,T,T,F,48,2080ti,-,1,Q17,T,T,2,3,6,3,2,F,F,255.04,40.96,0,41,11474.11,53.2327,19961,454.53537,432.91163,0.069131,,
18,BlazingSQL,T,T,F,48,2080ti,-,1,Q18,T,T,2,2,8,4,3,F,T,307.231,112.576,0,193,13582.45,50.916,24711,492.39945,465.61784,0.105444,,
19,BlazingSQL,T,T,F,48,2080ti,-,1,Q19,T,F,1,6,10,2,2,F,F,591.866,200.191,0,169,36908.73,71.1351,48612,450.29891,398.34747,0.066043,,
20,BlazingSQL,T,T,F,48,2080ti,-,1,Q20,T,T,2,3,17,5,5,F,T,434.907,155.647,0,251,9720.9,40.9176,22843,426.15779,402.31537,0.085165,,
21,BlazingSQL,T,T,F,48,2080ti,-,1,Q21,T,T,3,4,16,6,4,F,T,1447.9,866.684,460,1561,1125388.831,96.3484,1108749,1593.891612,425.73324,0.116785,,
22,BlazingSQL,T,T,F,48,2080ti,-,1,Q22,T,T,0,0,4,3,2,F,T,,,,,,,,,,,,
23,BlazingSQL,T,T,F,48,2080ti,-,2,Q1,T,F,0,7,7,1,1,F,T,364.028,91.648,0,140,37538.59,72.8721,57509,462.08403,410.49104,0.079996,,
24,BlazingSQL,T,T,F,48,2080ti,-,2,Q2,T,T,8,0,16,10,5,F,T,418.239,176.927,0,288,7362.97,33.0329,28968,435.58124,413.16089,0.130526,,
25,BlazingSQL,T,T,F,48,2080ti,-,2,Q3,T,F,2,4,10,3,3,F,T,326.015,100.767,0,163,13170.84,52.5096,26219,423.84735,398.68125,0.083391,,
26,BlazingSQL,T,T,F,48,2080ti,-,2,Q4,T,T,0,3,7,2,2,F,T,236.191,117.824,0,165,29345.25,71.9458,43302,458.8852,418.0002,0.097013,,
27,BlazingSQL,T,T,F,48,2080ti,-,2,Q5,T,F,5,4,16,6,6,F,T,336.927,96.032,0,166,13461.5,50.2148,29947,478.80152,451.9099,0.083799,,
28,BlazingSQL,T,T,F,48,2080ti,-,2,Q6,T,F,0,4,4,1,1,F,F,199.711,43.743,0,44,11237.03,55.4962,18647,431.25986,410.91179,0.099768,,
29,BlazingSQL,T,T,F,48,2080ti,-,2,Q7,T,T,5,5,15,6,5,F,T,518.844,170.656,0,266,26653.68,63.2612,46907,458.4217,416.20778,0.081175,,
